date,ANO_flatID,ANO_pointID,collector,habitat,NiN_type,species,individual_nr,plant_height_cm,length_lb_cm,nr_segments_lb,Segment,length_mm,nr_leaves,nr_scars,nr_branch_scars,nr_side_branches,nr_fruits,nr_fruit_buds,leaf_weight,stem_weight,branches_weight,fruit_weight,fruitbuds_weight,sidebranches_weight,remarks,UniqueID,UniqueID_Sonya,UniqueID_Plant,Herbarium_Yes/No,Weighed_Yes/No,Weighed and Bag found
8.7.2024,SE_O,,AH,open,,vv,1,17.5,15.9,3,S24,39,11,13,,,0,,0.08306,0.0092,0,0,,,,,SE_O___vv,SE_O___vv_1,,Yes,
,,,,,,,,,,,S23,64,7,12,,,0,,0.12827,0.03699,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,48,2,9,,,0,,0.02566,0.03008,0,0,,,,,___,____,,,
8.7.2024,SE_O,,AH,open,,vv,2,16.5,22.6,9,S24,22,12,12,,,0,,0.03934,0.0064,0,0,,,,,SE_O___vv,SE_O___vv_2,,Yes,
,,,,,,,,,,,S23,35,9,14,,,0,,0.11717,0.02089,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,26,3,11,,,0,,0.02072,0.01942,0,0,,,,,___,____,,,
8.7.2024,SE_O,,AH,open,,vv,3,15.5,15.7,4,S24,34,12,13,,,0,,0.116,0.01229,0,0,,,,,SE_O___vv,SE_O___vv_3,,Yes,
,,,,,,,,,,,S23,43,8,11,,,0,,0.07917,0.0234,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,28,5,9,,,0,,0.03826,0.01878,0,0,,,,,___,____,,,
8.7.2024,SE_O,,AH,open,,vm,1,19.1,20,5,S24,19,5,5,,,1,,0.01683,0.00458,0,0.00647,,,,,SE_O___vm,SE_O___vm_1,,Yes,
,,,,,,,,,,,S23,32,0,3,2,2,0,,0,0.01871,0.01956,0,,,,,___,____,,,
,,,,,,,,,,,S22,74,0,4,5,5,0,,0,0.13016,0.27346,0,,,,,___,____,,,
8.7.2024,SE_O,,AH,open,,vm,2,21.5,22.6,7,S24,40,7,7,,,0,,0.03852,0.02325,0,0,,,,,SE_O___vm,SE_O___vm_2,,Yes,
,,,,,,,,,,,S23,61,0,3,2,2,0,,0,0.0657,0.0911,0,,,,,___,____,,,
,,,,,,,,,,,S22,36,0,2,1,1,0,,0,0.06117,0.1621,0,,,,,___,____,,,
8.7.2024,SE_O,,AH,open,,vm,3,17,14.4,4,S24,37,7,7,,,0,,0.03336,0.01683,0,0,,,,,SE_O___vm,SE_O___vm_3,,Yes,
,,,,,,,,,,,S23,59,0,8,3,3,0,,0,0.05633,0.09667,0,,,,,___,____,,,
,,,,,,,,,,,S22,38,0,6,,,0,,0,0.04959,0,0,,,,,___,____,,,
8.7.2024,SE_F,,AH,forest,,vv,1,14.4,14.4,3,S24,34,11,14,,,0,,0.011644,0.01327,0,0,,,,,SE_F___vv,SE_F___vv_1,,Yes,
,,,,,,,,,,,S23,47,12,14,,,0,,0.12895,0.03352,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,59,2,16,,,0,,0.0332,0.05436,0,0,,,,,___,____,,,
8.7.2024,SE_F,,AH,forest,,vv,2,17,19.5,6,S24,31,12,16,,,0,,0.07062,0.01031,0,0,,,,,SE_F___vv,SE_F___vv_2,,Yes,
,,,,,,,,,,,S23,36,17,20,,,0,,0.20543,0.0244,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,30,10,13,,,0,,0.16881,0.02886,0,0,,,,,___,____,,,
8.7.2024,SE_F,,AH,forest,,vv,3,18.2,17.4,4,S24,47,17,17,,,0,,0.1482,0.02462,0,0,,,,,SE_F___vv,SE_F___vv_3,,Yes,
,,,,,,,,,,,S23,57,8,13,,,0,,0.16917,0.04705,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,34,5,7,,,0,,0.03482,0.02786,0,0,,,,,___,____,,,
8.7.2024,SE_F,,AH,forest,,vm,1,23.7,19.8,4,S24,46,7,7,,,0,,0.0377,0.01657,0,0,,,,,SE_F___vm,SE_F___vm_1,,Yes,
,,,,,,,,,,,S23,71,0,5,2,2,0,,0,0.05183,0.05715,0,,,,,___,____,,,
,,,,,,,,,,,S22,78,0,2,5,5,0,,0,0.12518,0.22246,0,,,,,___,____,,,
8.7.2024,SE_F,,AH,forest,,vm,2,22,29.6,6,S24,72,9,9,,,1,,0.09242,0.04779,0,0.03198,,,,,SE_F___vm,SE_F___vm_2,,Yes,
,,,,,,,,,,,S23,83,0,4,2,2,0,,0,0.09078,0.08172,0,,,,,___,____,,,
,,,,,,,,,,,S22,93,0,4,3,3,0,,0,0.22983,0.55742,0,,,,,___,____,,,
8.7.2024,SE_F,,AH,forest,,vm,3,20.6,19.9,6,S24,22,5,5,,,1,,0.03272,0.00877,0,0.02482,,,,,SE_F___vm,SE_F___vm_3,,Yes,
,,,,,,,,,,,S23,38,0,2,3,3,0,,0,0.03235,0.07165,0,,,,,___,____,,,
